727,14
727,17
727,24
727,35
745,32
745,35
745,38
751,33
751,35
751,39
751,40
751,41
808,23
808,35
808,42
808,43
815,32
815,35
815,44
815,45
817,32
817,35
817,46
817,47
817,48
817,49
817,50
817,51
823,31
823,35
823,52
823,53
823,54
826,31
826,35
826,36
826,51
826,55
831,25
831,35
831,56
831,57
831,58
839,33
842,23
850,22
850,35
850,63
856,33
856,35
856,64
856,65
857,32
857,35
857,51
857,66
858,32
858,35
858,49
858,67
859,32
859,35
859,68
860,32
860,35
860,48
860,69
861,32
861,35
861,49
861,50
861,70
861,71
862,32
862,35
862,72
862,73
862,74
863,22
863,35
863,63
863,75
863,76
864,22
864,35
864,75
864,77
864,78
864,79
865,22
865,35
865,75
865,80
866,22
866,35
866,63
866,81
868,22
868,35
868,63
868,75
868,82
